OBS_ID	X	Y	Depth	LAYER	ME	ME^2
Dummy2	689390	6209952	400.09483242	-2			
186.721_1	689390	6209952	4.09483242034912	1	3.91	15.2881	
182.384_3	710580	6221081	19.4658079147339	3	0.433722736091614	0.188115411802796	
217.1096_1	687967	6135012	17.224946975708	5	1.31879314677429	1.73921536397884	
182.393_1	711406.27	6221570.56	54.0999360084534	7	-0.253234033481551	0.0641274757133352	
186.52_1	698664	6205718	64.4693450927734	10	-2.1669555080719	4.69569617396315	
187.1280_1	705647	6218205	2.67188620567322	1	-2.92259525477409	8.54156302322804	
188.933_1	723717	6214890	5.06404113769531	1	27.1	734.41	
194.771_1	721279	6191684	13.3681058883667	1	-6.79214752895355	46.1332680550699	
194.802_1	721255	6191056.73	12.1300954818726	1	0.0388498375218269	0.00150930987547235	
194.808_1	721257.26	6191057.02	12.1300954818726	1	-1.37197052994133	1.8823031350275	
197.492_1	646837	6172949	11.1885933876038	1	-5.26481571011606	27.7182844614849	
197.493_1	647050	6172885	12.0625619888306	1	-5.76337945706377	33.2165427661047	
197.494_1	647196	6172752	12.0625619888306	1	-7.36372140773362	54.2243929707144	
201.4277_1	725691	6178425	2.25181186199188	1	-1.60445210447311	2.5742665555482	
201.4374_3	720969.88	6181523.1	4.17429637908936	1	-4.9709346413327	24.7101912084015	
205.348_1	675833	6163717	11.9058589935303	1	-4.17419657484436	17.4239170454424	
205.561_1	663342	6157867	6.30345153808594	1	-4.5475030413208	20.6797839108219	
205.646_1	674589	6166881	5.45348930358887	1	0.439071808578497	0.192784053088392	
216.701_1	671594	6136271	3.1653995513916	1	0.785103786285401	0.616387955239672	
216.702_1	671619	6136297	3.1653995513916	1	-0.187935286087036	0.0353196717566162	
221.1098_1	679023.3	6118143.15	3.7633855342865	1	-2.5062669573063	6.28137406128538	
221.1099_1	679048.29	6118143.63	3.7633855342865	1	-2.251477381499	5.06915039940159	
225.186_1	676867	6108074	2.92148351669312	1	-1.44484855947498	2.08758735981693	
186.408_1	685834	6207498	3.79690361022949	1	0.177773598724365	0.0316034524034117	
186.815_1	685454	6207470	2.8979332447052	1	-0.833554087219238	0.694812416319898	
186.817_1	685202	6207682	2.88066840171814	1	-1.65090309777832	2.72548103825405	
186.820_1	684912	6207279	2.75226092338562	1	-1.64004558467102	2.68974951979891	
186.844_1	691338.3	6214373.12	1.88518667221069	1	-1.6210633164535	2.62784627595123	
186.848_1	691435.6	6214361.9	1.88518667221069	1	1.62793907936891	2.65018564613649	
186.861_3	685232	6207414	2.8979332447052	1	-2.51332951678467	6.31682525994105	
186.862_1	685313	6207466	2.8979332447052	1	-2.01031694650269	4.04137422539588	
186.862_2	685313	6207466	2.8979332447052	1	-1.91031694650269	3.64931083609535	
186.863_2	685276	6207514	2.88066840171814	1	-3.74089748760986	13.9943140128058	
186.864_3	685158	6207562	2.88066840171814	1	-3.0860716739502	9.52383837675776	
187.1409_1	705094	6217716	5.857008934021	1	3.69298512835693	13.6381391582655	
187.1429_1	706745	6204623	2.35116195678711	1	41.8	1747.24	
187.1431_1	706767	6204626	2.35116195678711	1	42.3	1789.29	
188.1042_1	724879	6215868	3.17796349525452	1	-2.24425474204278	5.03667934718151	
188.1043_1	724949	6215943	3.17796349525452	1	-0.922699316082903	0.851374027899857	
188.1044_1	724746	6215836	3.17796349525452	1	-1.91762781143188	3.67729642317704	
188.1046_1	724823	6215811	3.17796349525452	1	-2.94433814437824	8.66912710844069	
188.1048_1	724882	6215941	3.17796349525452	1	-1.98628731343372	3.94533729150775	
188.1051_1	725077	6215721	2.32940363883972	1	1.05089892324448	1.1043885468764	
188.1053_1	724954	6215847	3.17796349525452	1	-0.331345936069091	0.109790129349502	
188.1055_1	724788	6216012	1.72680854797363	1	1.1	1.21	
188.1074_1	722456	6214388	0.862510681152344	1	48.1	2313.61	
188.1090_1	722678	6214292	2.97892570495605	1	43.8	1918.44	
188.1091_1	722688	6214279	2.97892570495605	1	43.9	1927.21	
188.1092_1	722697	6214289	2.97892570495605	1	43.6	1900.96	
190.79_1	650658	6188525	9.47602939605713	1	34.4	1183.36	
193.2012_1	710705.15	6199066.11	4.34953498840332	1	-12.7929808309511	163.660358541083	
193.2097_1	706613.7	6192881	1.89764404296875	1	-6.57767490296109	43.2658071290441	
193.2116_1	707427.7	6196921	3.11176490783691	1	1.45411427931213	2.11444833729943	
193.2117_1	707135.7	6196766.4	3.11176490783691	1	1.26073879118051	1.58946229958729	
194.750_1	721015.47	6191634.13	13.3681058883667	1	-2.76032066353859	7.61937016555812	
194.752_1	721543.06	6191373.07	9.72762966156006	1	-1.64873166010766	2.71831608704137	
194.753_1	721327.55	6191426.5	12.1300954818726	1	-1.4531609308925	2.11167669107236	
194.904_3	720038.87	6191737.61	13.0916076898575	1	1.52924560688678	2.33859212618252	
194.906_1	721381.81	6191783.86	13.3681058883667	1	-2.36013446943924	5.57023471383526	
194.908_1	721130.33	6191078.2	12.1300954818726	1	-0.781215516859525	0.610297683782095	
194.909_1	721130.74	6191064.27	12.1300954818726	1	-0.805967531498249	0.649583661829381	
194.910_1	721230	6191042	12.1300954818726	1	-0.99652468017578	0.99306143819944	
194.911_1	721245.66	6191030.7	12.1300954818726	1	-1.28380389337694	1.6481524366498	
194.912_1	721150.65	6191086.71	12.1300954818726	1	-0.962127205145098	0.925688758880317	
194.913_1	721126.48	6191081.78	12.1300954818726	1	-0.756032151535527	0.571584614155437	
194.915_2	720593.46	6192014.12	4.61016654968262	1	26.215	687.226225	
194.916_1	719200.02	6191737.54	12.97132396698	1	5.52305312089759	30.5041157762566	
194.916_2	719200.02	6191737.54	12.97132396698	1	5.55805312089759	30.8919544947194	
194.918_1	719304.25	6192279.51	7.17778968811035	1	38.245	1462.680025	
194.919_1	719249.37	6192254.96	7.17778968811035	1	33.715	1136.701225	
194.920_1	719155.84	6192070.27	7.17778968811035	1	41.12	1690.8544	
194.924_1	718714	6191197.79	11.4411654472351	1	6.42507325967979	41.2815663922523	
194.925_1	718523	6191206	11.4411654472351	1	3.12191149894753	9.74633140726081	
194.932_1	721428.71	6191263.63	12.1300954818726	1	-1.26202499987978	1.59270710032156	
194.947_1	720926.9	6191297.6	12.4243039488792	1	-1.25276194716717	1.56941249627009	
194.948_1	721002.37	6191383.25	12.1300954818726	1	-1.2354890080691	1.52643308905956	
194.949_1	721073.54	6191376.64	12.1300954818726	1	-1.20589422831635	1.45418088988669	
194.950_1	721119.13	6191469.43	12.1300954818726	1	-1.24402227588881	1.54759142290758	
194.951_1	720893.92	6191453.59	12.4243039488792	1	-1.4045652191447	1.97280345483099	
194.952_1	721060.99	6191508.6	13.3681058883667	1	-1.53373880649827	2.35235472655874	
194.953_1	721130.46	6191555.78	13.3681058883667	1	-1.51461001351861	2.29404349305083	
194.954_1	721053.38	6191592.24	13.3681058883667	1	-2.73919324215824	7.50317961788536	
194.955_1	720955.6	6191574.16	8.4679594039917	1	-2.50366838804202	6.26835539728095	
194.968_2	718580.46	6191384.19	11.4411654472351	1	5.62923823389319	31.6883230939249	
194.970_1	718595.38	6191315.04	11.4411654472351	1	6.56952320965017	43.1586352021323	
197.339_1	643566	6172598	5.0378475189209	1	-0.525998715499878	0.276674648707522	
197.448_1	646737	6173121	5.7153115272522	1	-8.52585393869018	72.6901853838789	
198.381_1	666002	6179783	1.68246579170227	1	0.760543763336182	0.578426815949562	
198.664_2	662778.57	6173913.75	1.2907247543335	1	0.572815640047267	0.32811775748276	
198.675_1	664629	6172817	1.41797733306885	1	-0.396581827732087	0.157277146087323	
198.676_1	664648	6172808	1.41797733306885	1	-0.14727112812805	0.0216887851801086	
198.677_1	664638	6172806	1.41797733306885	1	-0.100391411987305	0.0100784356008048	
199.1276_1	682289	6185018	0.939132690429688	1	0.232020126847537	0.0538333392623473	
201.3745_1	721322	6180763	9.26059710979462	1	-3.46772600241089	12.0251236277966	
201.5218_1	722459	6180926	7.5009880065918	1	-0.521194318405151	0.27164351753781	
201.5273_1	721076.89	6181651.43	5.41829252243042	1	-5.96096319173614	35.5330821732331	
201.5293_3	718468.05	6182308.04	2.97669506072998	1	-4.27337403093886	18.2617256083026	
201.5298_2	725537	6179694	1.60562694072723	1	-1.32267843425179	1.74947824043475	
201.5299_2	725555	6179680	1.60562694072723	1	-1.08310885770321	1.17312479763515	
201.5300_2	725596	6179643	1.60562694072723	1	-0.801355534934044	0.642170693369427	
201.5301_2	725641	6179621	1.60562694072723	1	-0.843461167288303	0.711426740723347	
201.5302_2	725613	6179658	1.60562694072723	1	-0.94489533322525	0.892827190750857	
201.5303_2	725556	6179610	1.60562694072723	1	-1.29754481151581	1.68362253789159	
201.5305_1	719556.08	6186256.63	4.6373119354248	1	-2.96326100754825	8.7809157988559	
201.5321_1	719137.61	6186226.94	8.76629495620728	1	-0.542554994421042	0.294365921971217	
201.5323_2	719086.56	6186321.64	8.76629495620728	1	-1.92257381189931	3.69629006220105	
201.5746_1	721052.47	6181590.79	5.41829252243042	1	-6.95161421535805	48.3249401991681	
201.5747_1	721102.82	6181589.1	5.41829252243042	1	-6.74093656647464	45.4402257932349	
201.5752_2	720836.9	6179870.4	9.38362717628479	1	-2.75858678924753	7.60980107381101	
201.5853_1	721138.92	6181603.05	5.41829252243042	1	-6.71687798534268	45.1164498699811	
201.5854_1	721150.36	6181596.92	5.41829252243042	1	-4.74454571382117	22.5107140305388	
201.5856_1	721144.7	6181654.7	5.41829252243042	1	-4.17005832522126	17.3893864357471	
201.5857_1	721165.22	6181636.89	5.41829252243042	1	-4.41600000932487	19.5010560823573	
201.5859_1	721189.15	6181611.95	5.41829252243042	1	-2.79306306600815	7.80120129069884	
201.5939_1	723619	6183067	3.18578910827637	1	-3.5650370084362	12.7094888715198	
201.5943_1	723632	6183041	3.18578910827637	1	-3.29086968903732	10.8298233102246	
201.5944_1	723635	6183073	3.18578910827637	1	-3.49053359730721	12.1838247939304	
201.5945_1	723628	6183074	3.18578910827637	1	-3.4589127610321	11.9640774884307	
201.5946_1	723622	6183079	3.18578910827637	1	-3.50841322159576	12.308963333468	
201.5947_1	723625	6183094	3.18578910827637	1	-3.54525333213806	12.568821189036	
201.5949_1	723642	6183068	3.18578910827637	1	-3.7308788213501	13.9194567795987	
201.5950_1	723650	6183072	3.18578910827637	1	-3.64148538284302	13.2604157934594	
201.5961_1	725758	6178487	2.25181186199188	1	-1.94212364391174	3.77184424824101	
201.5962_1	725789	6178486	2.25181186199188	1	-2.44740970508825	5.98981426456014	
201.5963_1	725799	6178426	2.25181186199188	1	-2.80664014331786	7.87722889408333	
201.6056_1	718268	6181616	3.31360149383545	1	-2.58302402038574	6.67201308988973	
201.6057_1	718273	6181628	3.31360149383545	1	-2.77725852355957	7.71316490668429	
201.6061_1	718262	6181633	3.31360149383545	1	-3.29388590087891	10.8496843280089	
201.6074_1	722790	6177953	2.81737041473389	1	-3.46492085300446	12.0056765175851	
201.6077_1	722769.99	6177956	2.81737041473389	1	-3.74357482260256	14.0143524524238	
201.6277_1	720656.07	6181557.65	4.17429637908936	1	-5.65925355585789	32.0271508094902	
201.6477_1	718345	6181809	3.31360149383545	1	-5.9058239220047	34.878756197723	
201.6595_1	719867	6186138	4.6373119354248	1	-4.34079220605469	18.8424769761451	
201.6630_1	724610	6181039	1.16709399223328	1	-3.33288707312562	11.1081362422079	
201.6632_1	724624	6181058	1.16709399223328	1	-3.12583869820832	9.77086756721668	
204.181_1	643914	6170571	2.82437348365784	1	-2.39736951289368	5.74738058135207	
204.516_1	645236	6170934	5.89803743362427	1	3.89010937509155	15.1329509501752	
204.517_1	645174	6171139	6.83289527893066	1	-2.37804508176422	5.655098410903	
204.518_1	645102	6170904	5.89803743362427	1	-2.03781991612244	4.15271001054526	
204.568_1	657433.67	6170006.24	1.75521278381348	1	2.03861040477223	4.15593238244559	
205.328_1	665227	6166644	19.4963359832764	1	-11.5658523979187	133.768941690442	
205.626_1	670450	6171966	2.87968444824219	1	-4.42893734741211	19.6154860273018	
205.767_1	671018	6158661	7.62934303283691	1	-7.32279935095215	53.6233903343052	
205.769_1	671001	6158670	7.62934303283691	1	-7.90636130615234	62.510549103423	
206.1712_1	690783.6	6159903.8	4.15134906768799	1	-0.165250201963119	0.0273076292488515	
212.1365_1	682842	6142788	1.09564399719238	1	-0.919691467285155	0.845832394997121	
214.939_1	634058	6135455	2.64346867799759	1	-0.394295593795178	0.155469015286292	
214.959_1	634139	6135661	3.16719126701355	1	-0.500720103405193	0.250720621954107	
214.960_1	634103	6135683	3.16719126701355	1	-0.574719281680569	0.33030225273543	
217.1119_1	683790	6128525	3.56920433044434	1	1.86655185699463	3.48401583485009	
217.982_1	690294	6130458	11.6863775253296	1	14.4629389203292	209.176602213172	
221.1110_1	675414	6124661	2.37995445728302	1	-0.94789479119873	0.898504535181685	
