OBS_ID	X	Y	Depth	LAYER	OBS_VALUE	DATO	SIM_VALUE_INTP	SIM_VALUE_CELL	ME	ME^2	#DRY_CELLS	#BOUNDARY_CELLS	COLUMN	ROW	COMMENT
186.721_1	689390	6209952	4.09483242034912	1	3.91	16-01-2007	-1.00000001800251E-35	-1.00000001800251E-35	3.91	15.2881	0	0	148	349	
186.721_1	689390	6209952	4.09483242034912	1	3.91	16-01-2007	-1.00000001800251E-35	-1.00000001800251E-35	3.91	15.2881	0	0	148	349	
182.384_3	710580	6221081	19.4658079147339	3	5	01-01-2007	4.56627726390839	4.53965330123901	0.433722736091614	0.188115411802796	0	0	191	372	
182.384_3	710580	6221081	19.4658079147339	3	5	01-01-2007	4.56627726390839	4.53965330123901	0.433722736091614	0.188115411802796	0	0	191	372	
182.384_3	710580	6221081	19.4658079147339	3	5	01-01-2007	4.56627726390839	4.53965330123901	0.433722736091614	0.188115411802796	0	0	191	372	
217.1096_1	687967	6135012	17.224946975708	5	31.6	23-05-2015	30.2812068532257	30.2866249084473	1.31879314677429	1.73921536397884	0	0	145	200	
217.1096_1	687967	6135012	17.224946975708	5	31.6	23-05-2015	30.2812068532257	30.2866249084473	1.31879314677429	1.73921536397884	0	0	145	200	
217.1096_1	687967	6135012	17.224946975708	5	31.6	23-05-2015	30.2812068532257	30.2866249084473	1.31879314677429	1.73921536397884	0	0	145	200	
182.393_1	711406.27	6221570.56	54.0999360084534	7	4.9	07-01-2007	5.15323403348155	5.01610803604126	-0.253234033481551	0.0641274757133352	0	0	192	373	
182.393_1	711406.27	6221570.56	54.0999360084534	7	4.9	07-01-2007	5.15323403348155	5.01610803604126	-0.253234033481551	0.0641274757133352	0	0	192	373	
182.393_1	711406.27	6221570.56	54.0999360084534	7	4.9	07-01-2007	5.15323403348155	5.01610803604126	-0.253234033481551	0.0641274757133352	0	0	192	373	
186.52_1	698664	6205718	64.4693450927734	10	5.1339	15-01-2007	7.3008555080719	7.37708950042725	-2.1669555080719	4.69569617396315	0	0	167	341	
186.52_1	698664	6205718	64.4693450927734	10	5.1339	15-01-2007	7.3008555080719	7.37708950042725	-2.1669555080719	4.69569617396315	0	0	167	341	
186.52_1	698664	6205718	64.4693450927734	10	5.1339	15-01-2007	7.3008555080719	7.37708950042725	-2.1669555080719	4.69569617396315	0	0	167	341	
187.1280_1	705647	6218205	2.67188620567322	1	5.48	07-02-2007	8.40259525477409	7.37981462478638	-2.92259525477409	8.54156302322804	0	0	181	366	
188.933_1	723717	6214890	5.06404113769531	1	27.1	15-02-2007	-1.00000001800251E-35	-1.00000001800251E-35	27.1	734.41	0	0	217	359	
