NOVANAID	XUTM	YUTM	Z	Ave_WATLEV	DATE	COMP_LAYER
198.664_2	662778.57	6173913.75	0.98	5.69	30-04-2011	1
198.675_1	664629	6172817	13.2	14	1-05-2011	1
198.676_1	664648	6172808	13	14.3	2-05-2011	1
198.677_1	664638	6172806	13.5	14.3	3-05-2011	1
199.1276_1	682289	6185018	37.8	39.6	23-07-2011	1
201.3745_1	721322	6180763	0.1	12.95	25-12-2012	1
201.5218_1	722459	6180926	10	14.21	23-03-2013	1
201.5273_1	721076.89	6181651.43	13.54	13.82	11-04-2013	1
201.5293_3	718468.05	6182308.04	26.39	27.66	27-04-2013	1
201.5298_2	725537	6179694	-2.71	-0.1	2-05-2013	1
201.5299_2	725555	6179680	-1.55	0.1	4-05-2013	1
201.5300_2	725596	6179643	-2.2	0.29	6-05-2013	1
201.5301_2	725641	6179621	-3.01	0.13	8-05-2013	1
201.5302_2	725613	6179658	-1.6668	0.09	10-05-2013	1
201.5303_2	725556	6179610	-1.48	-0.07	12-05-2013	1
201.5305_1	719556.08	6186256.63	12.7011	19.105	14-05-2013	1
201.5321_1	719137.61	6186226.94	4.58	20.29	20-05-2013	1
201.5323_2	719086.56	6186321.64	5.5945	18.31	21-05-2013	1
201.5746_1	721052.47	6181590.79	10.9465	12.74	22-07-2013	1
201.5747_1	721102.82	6181589.1	12.21	12.655	23-07-2013	1
201.5752_2	720836.9	6179870.4	2.44	13.6	25-07-2013	1
201.5853_1	721138.92	6181603.05	11.2234	12.52	29-07-2013	1
201.5854_1	721150.36	6181596.92	10.8	14.405	30-07-2013	1
201.5856_1	721144.7	6181654.7	11.2234	15.21	31-07-2013	1
201.5857_1	721165.22	6181636.89	12.29	14.78	1-08-2013	1
201.5859_1	721189.15	6181611.95	11.2234	16.18	2-08-2013	1
201.5939_1	723619	6183067	5.3	6	27-08-2013	1
201.5943_1	723632	6183041	5.3444	6.2	28-08-2013	1
201.5944_1	723635	6183073	5.3444	5.9	29-08-2013	1
201.5945_1	723628	6183074	5.3444	6	30-08-2013	1
201.5946_1	723622	6183079	5.2	6	31-08-2013	1
201.5947_1	723625	6183094	5.3444	5.9	1-09-2013	1
201.5949_1	723642	6183068	5.2	5.6	2-09-2013	1
201.5950_1	723650	6183072	5.3444	5.6	3-09-2013	1
201.5961_1	725758	6178487	-1.1	0.05	5-09-2013	1
201.5962_1	725789	6178486	-1.2	-0.45	6-09-2013	1
201.5963_1	725799	6178426	-1.2	-0.45	7-09-2013	1
201.6056_1	718268	6181616	19.7976	21.5	10-09-2013	1
201.6057_1	718273	6181628	19.7976	21.4	11-09-2013	1
201.6061_1	718262	6181633	19.7976	20.9	12-09-2013	1
201.6074_1	722790	6177953	6.25	5	15-09-2013	1
201.6077_1	722769.99	6177956	4.9	4.7	16-09-2013	1
201.6277_1	720656.07	6181557.65	15.0731	17.1	18-10-2013	1
201.6477_1	718345	6181809	17.274	20	20-10-2013	1
201.6595_1	719867	6186138	14.7898	18.54	27-10-2013	1
201.6630_1	724610	6181039	-1.55	0.3	28-10-2013	1
201.6632_1	724624	6181058	-0.7	0.5	29-10-2013	1
204.181_1	643914	6170571	3.5	4	7-11-2013	1
204.516_1	645236	6170934	6.4	9.31	15-11-2013	1
204.517_1	645174	6171139	-1.4	2.61	16-11-2013	1
204.518_1	645102	6170904	-2	3.28	17-11-2013	1
204.568_1	657433.67	6170006.24	20	21.065	19-11-2013	1
205.328_1	665227	6166644	26.3638	29.77	26-11-2013	1
205.626_1	670450	6171966	32.2178	32.292	8-12-2013	1
205.767_1	671018	6158661	26.6	30.73	10-12-2013	1
205.769_1	671001	6158670	26.5	30	11-12-2013	1
206.1712_1	690783.6	6159903.8	32.3514	37.1	16-02-2014	1
212.1365_1	682842	6142788	35.964	34.1	2-03-2015	1
214.939_1	634058	6135455	-4.9	0.1	27-04-2015	1
214.959_1	634139	6135661	-4.09	0.495	28-04-2015	1
