NOVANAID	XUTM	YUTM	Z	Ave_WATLEV	DATE	COMP_LAYER
211.597_1	663861	6157181	12.1	28.41	8-01-2009	3
212.1124_1	688992	6150395	15.5	14.105	27-01-2009	3
212.1125_1	688986	6150367	15.5	14.335	28-01-2009	3
212.1149_2	689926	6150691	16.6	18	30-01-2009	3
212.1150_2	689771	6150697	17.5613	18	1-02-2009	3
212.973_2	682925	6144420	22.45	37.856	13-02-2009	3
213.519_1	701863	6149889	-2.5	0.17	19-02-2009	3
213.520_1	701905	6149924	-1.9	0.25	20-02-2009	3
213.600_1	701573.6	6150036.42	0.8	0.5	23-02-2009	3
214.537_2	642120.72	6140079	6.56	1.4	28-02-2009	3
214.866_2	642271	6139761	3	4	1-03-2009	3
214.867_2	642590	6139407	-1.9228	3.2	3-03-2009	3
215.763_1	649761	6128477	-7.4	14.2	9-03-2009	3
215.767_1	648541	6135067	-5.5	13.5	10-03-2009	3
215.834_1	651534	6133330	21.25	28.13	13-03-2009	3
215.844_1	650919	6133094	17.2	27.17	14-03-2009	3
215.845_1	650999	6133644	19.3	26.85	15-03-2009	3
215.846_1	651159	6133414	18.3	26.28	16-03-2009	3
215.847_1	651478	6133352	17.96	28.05	17-03-2009	3
215.848_1	651244	6132984	18	27.31	18-03-2009	3
215.849_1	651532	6133375	21.82	28.15	19-03-2009	3
215.853_1	651483	6133338	20.99	28.05	20-03-2009	3
215.858_1	651464	6133354	20.94	28.02	21-03-2009	3
215.876_1	652670	6133450	19.8	29.95	22-03-2009	3
215.877_1	652665	6133092	18.7	30	23-03-2009	3
215.920_1	648579	6132659	18.7	22.5	24-03-2009	3
182.193_1	717054	6220177	7.85	18.42	1-07-2009	3
182.407_1	704664	6219154	10.5	11	5-07-2009	3
182.408_1	704683	6219145	9.6	10.1	6-07-2009	3
183.17_1	719207	6219023	11.1	23.3	9-07-2009	3
183.22_1	718506	6219537	7.67	23.12	10-07-2009	3
183.25_1	718009.01	6218974.01	12.04	24.87	12-07-2009	3
183.27_1	718013	6219286	13.12	24.08	13-07-2009	3
183.42_2	718924	6218972	9.56	25.46	19-07-2009	3
186.213_1	689040	6209743	-3	4.03	30-07-2009	3
186.320_1	681217	6204169	-10.5	0.2	2-08-2009	3
186.375_1	689440	6209591	-5.1576	2.9	5-08-2009	3
186.422_1	689503	6209085	-8	3.93	8-08-2009	3
186.483_1	689381	6209659	-10	3.7	11-08-2009	3
186.513_1	688601	6206236	-9	0.8	16-08-2009	3
186.570_1	692059	6206879	-10.98	4.47	19-08-2009	3
186.645_1	690109	6207087	-9.29	4.06	24-08-2009	3
186.652_1	689536	6206752	-12.88	3.81	26-08-2009	3
186.660_1	689400	6205665	-0.5	5.69	27-08-2009	3
186.661_1	689186	6205668	-0.4	6.13	28-08-2009	3
186.662_1	689320	6205749	4.4	8.81	29-08-2009	3
186.688_1	682321	6205969	-6.7	5.14	30-08-2009	3
186.809_1	685574	6211403	1.52	3.21	6-09-2009	3
186.810_1	686114	6211312	-2.12	3.39	7-09-2009	3
186.816_1	685314	6207555	2.53	6.45	9-09-2009	3
186.840_1	691523	6207092	2.97	4.82	12-09-2009	3
186.841_1	691513	6206962	6.46	6.5	13-09-2009	3
186.845_1	690906	6214557	5.27	6.9267	15-09-2009	3
186.846_1	690767.41	6214395.7	8.43	9.8183	16-09-2009	3
186.847_1	690962	6214613	3.89	6.955	17-09-2009	3
186.863_1	685276	6207514	-1.2	3.8	25-09-2009	3
186.864_2	685158	6207562	-2.7	5	28-09-2009	3
187.1141_1	717005	6212730	14.09	29.33	7-10-2009	3
187.1345_1	707505	6204379	35.7	43.72	10-10-2009	3
187.1345_2	707505	6204379	38.7	43.7	11-10-2009	3
187.1345_3	707505	6204379	41.2	43.68	12-10-2009	3
187.1346_1	707534	6204335	36.9	44.69	13-10-2009	3
187.1346_2	707534	6204335	39.9	44.66	14-10-2009	3
187.1346_3	707534	6204335	42.4	44.63	15-10-2009	3
187.1391_2	708430.7	6216005.5	29.08	31.06	21-10-2009	3
187.1395_2	708463.6	6216007.2	30.4	35.6	24-10-2009	3
187.1396_2	708497.2	6215971	31.8452	38.14	26-10-2009	3
187.1407_1	705690	6207131	26.738	37.79	30-10-2009	3
187.1408_1	705702	6207131	36.2	36.89	31-10-2009	3
187.1410_1	703480	6204959	10.6444	14.3	2-11-2009	3
187.455_1	715911	6212544	12.04	32.62	11-11-2009	3
187.529_1	715361	6217410	11.14	21.1	15-11-2009	3
187.537_1	714246	6208657	17.1	30	16-11-2009	3
187.592_1	716431	6212487	13.74	33.39	17-11-2009	3
187.663_1	716015	6210365	6.97	32.3	18-11-2009	3
187.826_1	716330	6213045	13.88	20.52	21-11-2009	3
187.947_1	714585	6213432	11.26	17.8333	25-11-2009	3
187.967_1	714570	6213195	11.36	18.65	26-11-2009	3
187.989_1	716838	6218455	6.83	24.74	27-11-2009	3
188.1031_1	718285.72	6210829.6	23.5	26.8	29-11-2009	3
188.1049_1	724566	6215340	3.56	3.75	9-12-2009	3
188.1050_1	724935	6215678	0.02	0.9	10-12-2009	3
188.1052_1	725088	6215969	-0.41	0.1	12-12-2009	3
188.1054_1	724835	6215549	-2.6408	1.1	14-12-2009	3
188.1057_1	717787	6209976	22.03	21.735	16-12-2009	3
188.1059_1	717621	6209795	26.6395	18.07	17-12-2009	3
188.1077_1	723968	6215851	14.9	15.3	23-12-2009	3
188.1081_1	717821.9	6213466.3	21.78	25.8283	25-12-2009	3
188.1083_1	719260.7	6212854.2	25.43	29.09	26-12-2009	3
188.1084_1	718972.6	6212258.8	20.21	28.08	27-12-2009	3
188.1085_1	718522.4	6211844.52	26.41	28.69	28-12-2009	3
188.1086_1	718011.32	6211371.02	26.92	29.62	29-12-2009	3
188.1087_1	717744	6213088.4	23.91	29.4217	30-12-2009	3
188.1089_1	718377.2	6211881.1	27.22	28.835	31-12-2009	3
188.315_1	717696	6211544	12.08	30.01	10-01-2010	3
188.323_1	719140	6211833	16.16	26.73	12-01-2010	3
188.333_1	718841	6216801	19	26.6	14-01-2010	3
188.342_1	718575	6218401	10.53	25.87	15-01-2010	3
188.376_1	719668	6215751	9.01	29.1	16-01-2010	3
188.568_1	721797	6216338	13.98	29	18-01-2010	3
188.572_1	718060	6213646	12.34	26.8	19-01-2010	3
188.582_1	720333	6212650	14.7	34.6533	20-01-2010	3
188.652_1	718131	6215418	14.68	25.44	23-01-2010	3
188.742_1	719196	6211655	14.54	26.5	24-01-2010	3
188.787_1	717998	6217758	17.84	27	25-01-2010	3
188.798_1	717713	6216896	9	23.8	27-01-2010	3
188.847_1	719714	6213758	19.92	29.35	31-01-2010	3
188.855_1	719233	6212426	9.24	27.15	1-02-2010	3
188.856_1	718156	6217571	14.79	27.14	2-02-2010	3
188.883_1	720729	6212925	15.9244	36.4	7-02-2010	3
188.887_1	717518	6218125	11.29	26.03	8-02-2010	3
188.911_1	717828	6218374	13.88	25.96	11-02-2010	3
190.165_1	658185	6191735	0	3.1167	17-02-2010	3
190.196_1	658595	6192265	0	4.2325	18-02-2010	3
190.269_1	658640	6191351	-5.29	5.0328	19-02-2010	3
190.269_2	658640	6191351	3.21	4.3414	20-02-2010	3
190.270_1	658216	6191900	-7.06	3.8876	21-02-2010	3
190.270_2	658216	6191900	-3.06	3.9654	22-02-2010	3
190.270_3	658216	6191900	0.94	3.9976	23-02-2010	3
190.272_3	657841	6191232	-3.89	4.1853	24-02-2010	3
190.273_1	658748	6192246	-5.17	5.1546	25-02-2010	3
190.273_2	658748	6192246	-2.17	5.1496	26-02-2010	3
190.273_3	658748	6192246	4.33	5.014	27-02-2010	3
190.274_2	658415	6191045	-3.72	5.2332	28-02-2010	3
190.274_3	658415	6191045	2.78	5.2471	1-03-2010	3
190.275_1	658103	6191369	-6.74	4.1022	2-03-2010	3
190.275_2	658103	6191369	-3.02	4.1129	3-03-2010	3
190.275_3	658103	6191369	2.26	4.0064	4-03-2010	3
190.278_1	658675	6192525	3.85	4.846	5-03-2010	3
190.279_1	658378	6191764	2.25	3.234	6-03-2010	3
190.280_1	658500	6192030	3.5	4.08	7-03-2010	3
190.281_1	658122.51	6191322.1	3.1	4.115	8-03-2010	3
190.282_1	658312.84	6191492.05	3.5	3.95	9-03-2010	3
190.283_1	658189.02	6191137.79	3.7	4.476	10-03-2010	3
190.284_1	658075.8	6190880.3	4.5	4.782	11-03-2010	3
191.207_1	662001	6199154	3.75	3	16-03-2010	3
192.1090_1	692468	6201651	-1.9956	3.1	20-03-2010	3
192.1091_1	692451	6201654	-1.9956	3.2	21-03-2010	3
192.1151_1	691241.84	6202064.54	7.9	8.5	22-03-2010	3
192.1152_1	686398	6192494	-10.2	4.56	23-03-2010	3
192.1156_1	683488	6200874	-2.3	9.44	25-03-2010	3
192.1157_1	683137	6200632	2.66	8.765	26-03-2010	3
192.1158_1	683368	6200189	-6.4	8.1	27-03-2010	3
192.1159_1	694187	6191341	6.2	8.2	28-03-2010	3
192.1160_1	687182	6190571	-2.93	8.46	29-03-2010	3
192.1161_1	687191	6190557	1.37	8.24	30-03-2010	3
192.1192_1	693207.57	6191060.53	5.4	5.93	31-03-2010	3
192.1226_1	696762	6200424	1.9	6.3	3-04-2010	3
192.1229_1	683273	6200074	7.3	8	4-04-2010	3
192.1230_1	683289	6200079	7.2	8.8	5-04-2010	3
192.1232_1	683240	6200036	8.4	9	6-04-2010	3
192.770_1	695634	6193612	6.0329	8.28	17-05-2010	3
192.787_1	686942	6190474	-11.11	8.27	20-05-2010	3
192.862_1	693183	6191160	1.2682	6.18	25-05-2010	3
192.879_1	688606	6192297	-11.5	6	29-05-2010	3
192.958_2	693024.6	6191169.93	3.96	6.36	7-06-2010	3
193.1024_1	706117	6189113	12.62	27	11-06-2010	3
193.1029_1	702775	6189779	3	18.37	13-06-2010	3
193.1112_1	704030	6190556	14.28	27.97	16-06-2010	3
193.1113_1	702803	6189580	11.9	22.71	17-06-2010	3
193.1136_1	701148	6194622	8.9	26.4	20-06-2010	3
193.1166_1	717563.66	6190652.63	13.09	21.38	22-06-2010	3
193.1192_1	706689	6193754	23.7	36.99	24-06-2010	3
193.1197_1	705975	6191261	16.89	26.5	25-06-2010	3
193.1212_1	705737	6190507	9	27.1	27-06-2010	3
193.1339_1	708859	6196331	28.99	38.24	14-07-2010	3
193.1341_1	706582.04	6191625.2	17.58	33.255	15-07-2010	3
193.1341_2	706582.04	6191625.2	25.88	33.32	16-07-2010	3
193.1342_1	706481.75	6191642.41	15.98	31.2	17-07-2010	3
193.1345_1	706079	6189438	26.2	27.04	18-07-2010	3
193.1346_1	706079	6189438	13.4	27	19-07-2010	3
193.1347_1	706226	6189417	25.6	26.63	20-07-2010	3
193.1348_1	706226	6189418	14.2	26.58	21-07-2010	3
193.1350_1	706240	6189596	15.9	26.59	22-07-2010	3
193.1361_1	706198	6189602	13.7	27.22	24-07-2010	3
193.1362_1	706463	6189554	12.6	26.85	25-07-2010	3
193.1365_1	706133	6189609	10.85	27.29	26-07-2010	3
193.1366_1	706133	6189609	23.1	27.28	27-07-2010	3
193.1367_1	706301	6189579	11.6	27.13	28-07-2010	3
193.1377_1	703608	6192689	27.25	30.1	3-08-2010	3
193.1378_1	703533	6192782	26.55	28.2	4-08-2010	3
193.1436_2	710723.22	6198875.2	31.8	37.42	12-08-2010	3
193.1448_2	712302.52	6191490.08	23.4	30.91	13-08-2010	3
193.1448_3	712302.52	6191490.08	27.4	30.9	14-08-2010	3
193.1497_1	715141	6193935	34.36	32.18	16-08-2010	3
193.1499_1	710237.7	6196553.9	34.33	36.67	17-08-2010	3
193.1501_2	710663.23	6197158.72	9.48	36.71	19-08-2010	3
193.1501_3	710663.23	6197158.72	32.73	36.42	20-08-2010	3
193.1502_3	709786.29	6195558.06	29.16	37.215	23-08-2010	3
193.1504_1	710291.87	6196470.51	31.79	36.44	25-08-2010	3
193.1505_1	710329	6196504	32.24	36.55	26-08-2010	3
193.1519_1	714395	6194647	29	31.3	27-08-2010	3
193.1533_2	715295.35	6193798.8	32.42	32.62	29-08-2010	3
193.1570_2	712419.13	6191492.77	20.38	30.83	31-08-2010	3
193.1570_3	712419.13	6191492.77	24.38	30.84	1-09-2010	3
193.1572_1	715518	6193596	31.78	31.5	2-09-2010	3
193.1589_1	713021	6195973	24.06	29.51	3-09-2010	3
193.1687_1	710691.5	6196252.41	33.66	38.25	5-09-2010	3
193.1762_1	713321	6193370	26.5	32.595	6-09-2010	3
193.1763_1	713283.72	6192835.13	29.85	32.435	7-09-2010	3
193.1764_1	713455.29	6193492.62	29.09	32.63	8-09-2010	3
193.1765_1	713519.77	6192969.3	30.21	32.6767	9-09-2010	3
193.1766_1	713106.6	6193349.68	27.83	33.1267	10-09-2010	3
193.1792_1	713098	6194109	22	31.8	11-09-2010	3
193.1793_1	715612	6193576	25.7	33.1	12-09-2010	3
193.1793_2	715612	6193576	33.2	33.1	13-09-2010	3
193.1909_1	706284	6192689	26.15	25.1	16-09-2010	3
193.1914_1	708878	6195299	31.6	35.6	17-09-2010	3
193.1915_1	708853	6195289	32.3	36.995	18-09-2010	3
193.1917_1	713567.99	6193467.74	29.63	32.835	19-09-2010	3
193.1918_1	713634.17	6192950.5	29.12	32.59	20-09-2010	3
193.1919_1	713469.17	6192821.73	30.06	33.13	21-09-2010	3
193.1920_1	713502.19	6193167.47	30.52	32.94	22-09-2010	3
193.1921_1	711372.56	6195688.67	19.2136	30.7	23-09-2010	3
193.1922_1	713422.81	6193269.17	30.1	33.05	24-09-2010	3
193.1926_1	717674.21	6188757.65	7.09	20.0825	25-09-2010	3
193.1927_1	717653.18	6188750.04	-9.9109	20.3367	26-09-2010	3
193.1934_1	715326	6193636	32.835	31.48	27-09-2010	3
193.1944_1	717849.13	6190622.28	-16.06	19.445	28-09-2010	3
193.1964_1	700227	6197239	13.18	21.1	1-10-2010	3
193.1966_1	700210	6197199	14	20.8	2-10-2010	3
193.1967_1	699915	6196928	13.69	20.5	3-10-2010	3
193.1968_1	700129	6197121	12.99	21.02	4-10-2010	3
193.1974_1	717498.21	6190485.62	2.12	20.085	6-10-2010	3
193.1975_1	717572.09	6190469.88	9.36	19.97	7-10-2010	3
193.1976_1	717541.07	6190452.74	8.94	19.85	8-10-2010	3
193.1980_1	710768	6189862	12.21	23.2	9-10-2010	3
193.1981_1	710806	6189770	7.44	21	10-10-2010	3
193.1981_2	710806	6189770	17.19	21	11-10-2010	3
193.1983_1	717671.09	6190628.74	1.4	21.355	12-10-2010	3
193.2002_1	706167	6191609	24.3	33.39	13-10-2010	3
193.2003_1	706135	6191407	24.4	31	14-10-2010	3
193.2004_1	705987	6191561	39.8	43.05	15-10-2010	3
193.2010_1	717684.81	6190615.84	5.96	21.4	17-10-2010	3
193.2013_1	710705.52	6199078.34	29.75	35.49	19-10-2010	3
193.2014_1	710021	6196259	32.87	36.8	20-10-2010	3
193.2015_1	710035	6196609	32.87	37	21-10-2010	3
193.2016_1	710095.47	6196348.17	34	36.63	22-10-2010	3
193.2017_1	713360.59	6192908.33	31.92	33.29	23-10-2010	3
193.2019_1	710003.72	6196529.55	35.04	36.96	24-10-2010	3
193.2020_1	710049	6199519	21.9	37.5	26-10-2010	3
193.2036_1	710224	6196589.9	35.12	36.72	27-10-2010	3
193.2047_1	706715	6193299	9.06	33.965	28-10-2010	3
193.2048_1	700141	6194333	16.2	22.61	29-10-2010	3
193.2049_1	699984	6194191	10.4045	21.87	30-10-2010	3
193.2050_1	699869	6194192	13.2	21.92	31-10-2010	3
193.2051_1	700039	6194170	13.3	22.79	1-11-2010	3
193.2065_1	703888.3	6192704.7	30.36	30.84	2-11-2010	3
193.2066_1	703790.1	6192723.7	29.5	30.77	3-11-2010	3
193.2082_1	712983	6202453	17.9331	26.3	4-11-2010	3
193.2093_1	706122.3	6192865.7	32.7	36.15	5-11-2010	3
193.2094_1	706091.1	6193131.9	45.3	36.51	6-11-2010	3
193.2095_1	706293.5	6193038.4	32.2	35.86	7-11-2010	3
193.2106_1	715227	6193303.6	21.28	31.96	9-11-2010	3
193.2107_1	715221.2	6193457.9	30.29	32.05	10-11-2010	3
193.2108_1	715293.8	6193247.2	27.21	32.55	11-11-2010	3
193.2113_1	703705.1	6198256.5	17	19.8917	12-11-2010	3
193.2114_1	703686.7	6198153.9	20.4	26.435	13-11-2010	3
193.2115_1	703792.3	6197941.6	24.05	27.28	14-11-2010	3
193.2118_1	708780.15	6192033.47	29.89	35.08	17-11-2010	3
193.2119_1	708861.59	6191962.06	31.97	35	18-11-2010	3
193.2121_1	708900.95	6191994.85	31.98	34.98	19-11-2010	3
193.2122_1	709120.05	6191590.06	28.47	33.95	20-11-2010	3
193.2141_1	708888.04	6191889.56	32.66	34.5	22-11-2010	3
193.2142_1	708831.2	6191983.46	32.33	34.73	23-11-2010	3
193.2144_1	708876.7	6192009.37	30.32	35.88	24-11-2010	3
193.2146_1	709175.02	6191542.13	17.8794	33.21	25-11-2010	3
193.214_1	717902.06	6190713.08	-19.24	20.49	27-11-2010	3
193.2158_1	713412	6192838	18.5	28.55	28-11-2010	3
193.2158_2	713412	6192838	29	28.55	29-11-2010	3
193.2166_1	713431	6192803	20.7	31.1	30-11-2010	3
193.2166_2	713431	6192803	32.7	31.1	1-12-2010	3
193.2179_1	713423	6192873	23	33.1	3-12-2010	3
193.2179_2	713423	6192873	22.0274	33.1	4-12-2010	3
193.2180_1	713492	6192848	20.2	30.43	5-12-2010	3
193.2185_1	711855.96	6189465.45	1.4	20.3	6-12-2010	3
193.420_1	701946	6197342	4.96	20.09	10-12-2010	3
193.628_1	707548	6192329	11.1	35.73	31-12-2010	3
193.657_1	708634	6197581	26.52	37.7	7-01-2011	3
194.158_1	718165.37	6190865.42	-13.67	17.712	19-01-2011	3
194.367_1	720678	6190989	-25.6	8.655	25-01-2011	3
194.661_1	723402.7	6193591.57	-6.08	2.37	1-02-2011	3
194.738_1	720324	6190935	-6.5	20.2	2-02-2011	3
194.746_1	718660	6197984	17.61	23.72	3-02-2011	3
194.747_1	723392.59	6193587.78	-9.77	2.43	4-02-2011	3
194.751_1	720869.37	6191549.27	-4.88	9.97	6-02-2011	3
194.80_1	720336	6190514	-5	13.24	10-02-2011	3
194.904_2	720038.87	6191737.61	-19.1	18	12-02-2011	3
194.907_1	721409.76	6191741.36	-5.45	12.345	16-02-2011	3
194.917_1	721780.18	6191726.12	11.4	12.145	26-02-2011	3
194.968_1	718580.46	6191384.19	12.56	22.2	14-03-2011	3
194.971_1	718622.16	6191445.92	19.18	22.2	17-03-2011	3
194.972_1	718645.17	6191335.67	9.13	22	18-03-2011	3
197.131_1	655201.7	6180806.4	-15.95	3.44	20-03-2011	3
197.132_1	654983.7	6181224.9	-16.65	3.34	21-03-2011	3
197.290_1	654318	6176046	-9.55	5.318	27-03-2011	3
197.291_1	655806	6176385	-8.5	3.4	28-03-2011	3
197.317_1	646870	6173111	-2.6	6	30-03-2011	3
197.353_1	652002	6176781	-9.5	7.1	2-04-2011	3
197.414_1	646372	6172943	-5.5	4.79	3-04-2011	3
197.45_1	647545	6177643	-9.75	10	5-04-2011	3
197.6B_1	659691.99	6179702.25	-18.25	6.0879	9-04-2011	3
198.119D_1	668026	6174185	1.5	14	12-04-2011	3
198.123_1	664489.3	6177447.3	2	7.24	13-04-2011	3
198.131_1	674222.8	6178177	-0.5	7.25	14-04-2011	3
198.456_1	664483	6174249	-8.8	11.7	20-04-2011	3
198.460_1	668762.2	6173830	-1.9	20.81	21-04-2011	3
198.577_2	670416	6173458	4.1614	18.8636	25-04-2011	3
198.591_1	671223	6173182	26	25.068	26-04-2011	3
198.654_2	676701	6183139	-4	3.5825	27-04-2011	3
198.658_2	676941	6183247	-1	3.454	28-04-2011	3
198.678_1	675819	6183877	6.8	7.6	4-05-2011	3
198.679_1	675835	6183848	7	7.6	5-05-2011	3
198.684_1	671826	6180930	2.8	3.9375	6-05-2011	3
198.686_10	670380	6181154	-8.575	7.185	8-05-2011	3
198.686_12	670380	6181154	-5.075	7.185	9-05-2011	3
198.686_14	670380	6181154	-1.575	7.155	10-05-2011	3
198.686_16	670380	6181154	2.175	6.955	11-05-2011	3
198.686_18	670380	6181154	4.925	7.155	12-05-2011	3
198.686_8	670380	6181154	-12.075	7.185	14-05-2011	3
198.687_11	670378	6181154	-6.925	6.945	15-05-2011	3
198.687_13	670378	6181154	-3.425	6.91	16-05-2011	3
198.687_15	670378	6181154	0.205	6.91	17-05-2011	3
198.687_17	670378	6181154	3.075	6.915	18-05-2011	3
198.687_19	670378	6181154	6.325	6.915	19-05-2011	3
198.687_9	670378	6181154	-10.425	6.95	22-05-2011	3
198.688_1	670519	6180675	4	6.9333	23-05-2011	3
198.690_1	672145	6181437	2.4	3.335	24-05-2011	3
198.691_1	672533	6181217	1.9	3.1275	25-05-2011	3
198.692_1	671231	6180735	1.7	5.59	26-05-2011	3
198.693_1	671338	6181909	4.3	5.155	27-05-2011	3
198.694_1	670046	6180655	5	7.0775	28-05-2011	3
198.705_1	676666	6183455	0	3.4	30-05-2011	3
198.706_1	676666	6183455	3	3.4	31-05-2011	3
198.707_1	676971	6183565	2	9.77	1-06-2011	3
198.708_1	676971	6183565	10	9.77	2-06-2011	3
198.86H_1	670768	6175123	-0.6	13.2	4-06-2011	3
199.1040_1	696081.3	6186358	1.14	6.83	7-06-2011	3
199.1057_1	683017	6182994	-17.69	15.2967	8-06-2011	3
199.1136_1	684813	6180557	-0.5	9.2	9-06-2011	3
199.1137_1	682502	6181536	-2.5	12.07	10-06-2011	3
199.1139_1	683702	6184434	-1.5	16.89	11-06-2011	3
199.1200_1	695970	6186480.7	1.92	6.85	14-06-2011	3
199.1201_1	695998	6186476.5	2.76	6.8	15-06-2011	3
199.1202_1	696072.9	6186496.4	2.85	6.78	16-06-2011	3
199.1203_1	695956	6186431.3	3.36	6.9	17-06-2011	3
199.1204_1	695982.2	6186449.4	3.25	6.82	18-06-2011	3
199.1205_1	696101	6186446.1	3.33	6.75	19-06-2011	3
199.1218_2	689181.1	6185894.4	0.94	5.5	27-06-2011	3
199.1219_2	689064.1	6185974.5	-1.9054	3.5	29-06-2011	3
199.1228_2	689224.6	6185975.5	2.6	3.68	4-07-2011	3
199.1237_1	686183.7	6186331.18	-2.76	2.3117	7-07-2011	3
199.1238_1	687144.81	6186310.98	7.47	13.28	8-07-2011	3
199.1239_1	687076.53	6186213.78	9.64	13.4817	9-07-2011	3
199.1240_1	687059.6	6186128.9	8.5	13.6033	10-07-2011	3
199.1241_1	687065.7	6186034.9	8.52	13.622	11-07-2011	3
199.1242_1	686224.7	6186420.1	11.11	15.0517	12-07-2011	3
199.170_1	687383	6186018	-8.35	11	27-07-2011	3
199.435_1	685744	6184164	-3.65	13	4-08-2011	3
199.762_1	684890	6186758	-7.65	13.59	13-08-2011	3
199.763_1	684813	6186842	-9.65	14.18	14-08-2011	3
199.984_1	696484.88	6185525.36	0.41	4.85	19-09-2011	3
200.1176_1	702709	6182417	-8	6.3	23-09-2011	3
200.1352_1	702687	6182394	-9.4	6	25-09-2011	3
200.1465_1	700188	6183450	-6.06	3.84	3-10-2011	3
200.1586_1	704753	6183717	-12.59	8.55	6-10-2011	3
200.1595_1	702782	6182390	-2.1	7.2	8-10-2011	3
200.184_1	707474	6179913	5.5	18	14-10-2011	3
200.1988_1	706045	6187398	1.7	17.02	15-10-2011	3
200.227_1	717155.66	6186444.17	-25.78	18.35	24-10-2011	3
200.3154_1	707135	6187216	-3.66	14.7	26-11-2011	3
200.3305_1	706358	6183416	-6.9	5.7878	15-12-2011	3
200.3306_1	706359	6183381	-8.8	9.9989	16-12-2011	3
200.3307_1	706405	6183370	-5.3	10.31	17-12-2011	3
200.3308_1	706454	6183364	-10.45	13.3433	18-12-2011	3
200.3343_1	702609	6184016	-4.4	9	22-12-2011	3
200.3435_3	709605.23	6187028.32	-6.83	15.4114	17-01-2012	3
200.3436_2	709191.86	6187401.93	2.05	15.3	19-01-2012	3
200.3437_2	709222.72	6187925.37	-10.75	16.4375	21-01-2012	3
200.3438_1	718021.87	6181876.96	1.87	20.2508	22-01-2012	3
200.3438_2	718021.87	6181876.96	15.87	26.1343	23-01-2012	3
200.3449_1	716537.09	6184577.21	16.13	19.95	25-01-2012	3
200.3610_1	704894	6186473	4.15	10.715	26-01-2012	3
200.3612_1	704620.45	6186293.3	3.5303	10.67	27-01-2012	3
200.3650_2	708881.23	6185814.5	-9.5389	11.11	28-01-2012	3
200.3655_1	704959.11	6186767.77	5.07	11.19	29-01-2012	3
200.3681_2	706311	6183585	0.5	14.1038	30-01-2012	3
200.3682_1	717912.99	6182250.84	3.93	19.68	31-01-2012	3
200.4029_1	708841.68	6186718.79	9.29	13.43	7-02-2012	3
200.4333_1	706334	6183512	-8.48	8.9467	15-02-2012	3
200.4334_1	706252	6183609	-7.1	9.6375	16-02-2012	3
200.4390_1	711258.02	6186843.97	8.95	14.74	19-02-2012	3
200.4395_2	710777.87	6186868.08	-4.15	13.77	21-02-2012	3
200.4398_1	711312.94	6186736.8	8.42	14.73	22-02-2012	3
200.4399_1	711266.18	6186754.81	-6.82	14.79	23-02-2012	3
200.4417_1	707237	6174251	11.28	10.4	25-02-2012	3
200.4455_1	713020.82	6180692.25	15.76	18.44	3-03-2012	3
200.4456_1	713028.86	6180917.46	13.76	15.35	4-03-2012	3
200.4545_2	708097.21	6186051.91	11.86	16.3	8-03-2012	3
200.4560_1	711191.71	6187009.28	12.65	14.88	9-03-2012	3
200.4562_1	716292.56	6184587.39	9.9	19.156	10-03-2012	3
200.4563_1	716214.79	6184835.88	12.3	19.71	11-03-2012	3
200.4564_1	716326.01	6184624.34	5.45	18.4811	12-03-2012	3
200.4565_1	713451	6181134	7.6	16.7	13-03-2012	3
200.4574_1	711343	6186777	18.5	13.8	16-03-2012	3
200.4575_1	711333	6186800	20	13.6	17-03-2012	3
200.4576_1	711342	6186805	18.5	13.3	18-03-2012	3
200.4658_1	716345.5	6184660.92	16.08	19.646	19-03-2012	3
200.4659_1	716283.82	6184708.61	16.98	19.664	20-03-2012	3
200.4660_1	716244.08	6184797	16.63	19.566	21-03-2012	3
200.4673_1	700843	6185329	12.25	12.7	22-03-2012	3
200.4674_1	700832	6185329	12.25	12.38	23-03-2012	3
200.4675_1	700823	6185335	11.7	12.25	24-03-2012	3
200.4676_1	700820	6185337	11.7	11.24	25-03-2012	3
200.4677_1	700813	6185344	11.3	11.34	26-03-2012	3
200.4678_1	700835	6185315	12.7	13.19	27-03-2012	3
200.4679_1	700827	6185321	12	12.15	28-03-2012	3
200.4682_2	700812	6185344	11.2323	10.53	30-03-2012	3
200.4684_2	700826	6185291	10.375	10.3	3-04-2012	3
200.4685_2	700828	6185319	11.2323	10.485	5-04-2012	3
200.4686_2	700834	6185314	11.2323	10.235	7-04-2012	3
200.4698_1	706264.14	6183484.32	-11	10.33	9-04-2012	3
200.4727_1	716020.08	6184909.44	14.18	21.9767	13-04-2012	3
200.4805_1	717887	6188090	18.6	19.48	14-04-2012	3
200.4806_1	717902.19	6188089.96	3.3781	19.495	15-04-2012	3
200.4807_1	717887	6188104	20.42	19.5	16-04-2012	3
200.4816_2	716873.82	6185087.86	6.01	19.07	19-04-2012	3
200.4816_3	716873.82	6185087.86	14.51	19.0725	20-04-2012	3
200.4817_2	716920.17	6184679	7.19	20.08	22-04-2012	3
200.4817_3	716920.17	6184679	16.19	20.0825	23-04-2012	3
200.4818_1	717555.82	6187983.04	-4.01	19.67	24-04-2012	3
200.4818_2	717555.82	6187983.04	3.99	19.65	25-04-2012	3
200.4818_3	717555.82	6187983.04	10.99	19.66	26-04-2012	3
200.4877_1	707830.83	6179130.59	12.91	16.62	29-04-2012	3
200.4902_1	709788	6184520	1.61	12.43	1-05-2012	3
