OBS_ID	X	Y	Z	LAYER	ME	ME^2
198.676_1	664648	6172808	13.3500242233276	1	-0.14727112812805	0.0216887851801086	
198.677_1	664638	6172806	13.3500242233276	1	-0.100391411987305	0.0100784356008048	
199.1276_1	682289	6185018	39.5267143249512	1	0.232020126847537	0.0538333392623473	
201.3745_1	721322	6180763	7.67347919940948	1	-3.46772600241089	12.0251236277966	
201.5218_1	722459	6180926	14.7938976287842	1	-0.521194318405151	0.27164351753781	
201.5273_1	721076.89	6181651.43	15.7855286598206	1	-5.96096319173614	35.5330821732331	
201.5293_3	718468.05	6182308.04	28.406397819519	1	-4.27337403093886	18.2617256083026	
201.5298_2	725537	6179694	-0.557384729385376	1	-1.32267843425179	1.74947824043475	
201.5299_2	725555	6179680	-0.557384729385376	1	-1.08310885770321	1.17312479763515	
201.5300_2	725596	6179643	-0.557384729385376	1	-0.801355534934044	0.642170693369427	
201.5301_2	725641	6179621	-0.557384729385376	1	-0.843461167288303	0.711426740723347	
201.5302_2	725613	6179658	-0.557384729385376	1	-0.94489533322525	0.892827190750857	
201.5303_2	725556	6179610	-0.557384729385376	1	-1.29754481151581	1.68362253789159	
201.5305_1	719556.08	6186256.63	18.1928977966309	1	-2.96326100754825	8.7809157988559	
201.5321_1	719137.61	6186226.94	15.3070673942566	1	-0.542554994421042	0.294365921971217	
201.5323_2	719086.56	6186321.64	15.3070673942566	1	-1.92257381189931	3.69629006220105	
201.5746_1	721052.47	6181590.79	15.7855286598206	1	-6.95161421535805	48.3249401991681	
201.5747_1	721102.82	6181589.1	15.7855286598206	1	-6.74093656647464	45.4402257932349	
201.5752_2	720836.9	6179870.4	12.6310403347015	1	-2.75858678924753	7.60980107381101	
201.5853_1	721138.92	6181603.05	15.7855286598206	1	-6.71687798534268	45.1164498699811	
201.5854_1	721150.36	6181596.92	15.7855286598206	1	-4.74454571382117	22.5107140305388	
201.5856_1	721144.7	6181654.7	15.7855286598206	1	-4.17005832522126	17.3893864357471	
201.5857_1	721165.22	6181636.89	15.7855286598206	1	-4.41600000932487	19.5010560823573	
201.5859_1	721189.15	6181611.95	15.7855286598206	1	-2.79306306600815	7.80120129069884	
201.5939_1	723619	6183067	5.19736480712891	1	-3.5650370084362	12.7094888715198	
201.5943_1	723632	6183041	5.19736480712891	1	-3.29086968903732	10.8298233102246	
201.5944_1	723635	6183073	5.19736480712891	1	-3.49053359730721	12.1838247939304	
201.5945_1	723628	6183074	5.19736480712891	1	-3.4589127610321	11.9640774884307	
